Ln_Price,DSALE,BEDROOM,Ln_SQFT,Ln_LotSize,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
13.01700286,0,3,7.383368147,8.634976227,1,1,2,2,0,1,0,0,0,1.0528,0.85819
13.23569206,0,4,7.609366538,7.718685495,1,1,2,1,0,1,0,0,0,1.14113,0.91772
13.23569206,0,3,7.609366538,7.718685495,1,0,2,0,0,1,0,0,0,1.14113,0.91772
12.77138645,0,2,6.864847778,8.229511119,1,1,2,0,0,1,0,0,0,1.21974,0.95948
12.80765263,0,3,6.975413927,8.229511119,1,1,2,0,0,1,0,0,0,0.74017,0.61719
12.67607627,0,3,6.975413927,8.229511119,1,1,2,0,1,1,0,0,0,0.83809,0.66579
12.86617997,1,3,7.35372233,8.383661799,1,1,2,0,1,1,0,0,0,0.81217,0.65004
13.05194091,0,4,7.24636808,8.720134035,1,1,1,0,1,1,0,0,0,0.88406,0.69229
12.86099861,0,3,7.195937226,8.50471567,1,1,3,0,1,1,0,0,0,0.74644,0.60452
12.80490915,0,3,6.987490247,8.634976227,1,1,2,0,1,0,0,0,0,1.04131,0.80685
12.84792653,0,4,7.276556403,8.411832676,1,1,2,1,0,1,0,0,0,1.01001,0.81365
12.8346813,0,2,6.874198495,8.411832676,1,1,2,0,0,1,0,0,0,0.99635,0.80273
12.88664104,0,3,6.971668605,8.425516403,1,1,2,0,0,1,0,0,0,1.07613,0.85611
9.210340372,0,4,7.768956045,9.072456665,1,0,2,0,0,1,0,0,0,0.59531,0.32089
12.98310131,0,3,7.150701458,8.794824928,0,0,2,2,0,0,0,0,0,0.49198,0.26016
12.76568843,0,3,7.086737935,8.283999304,0,1,2,0,0,1,0,0,0,0.59702,0.38879
12.7367009,0,4,7.600402335,9.058004711,0,0,2,2,0,1,0,0,0,0.54894,0.3722
13.01922262,0,4,7.556427969,8.168486417,1,1,1,1,1,0,0,0,0,0.3639,0.26433
12.93120287,0,3,7.043159916,8.571681377,1,1,4,0,0,1,0,0,0,0.63191,0.43812
12.92391244,0,3,7.247080585,8.741136423,1,1,2,0,1,0,0,0,0,0.66018,0.48104
13.12036137,0,3,6.987490247,8.684231891,1,1,2,1,0,1,0,0,0,0.5392,0.43319
12.77705219,0,3,7.127693699,8.307705967,1,1,2,1,0,1,0,0,0,0.37757,0.27516
13.03898177,0,3,7.126087273,8.525161361,1,1,2,0,1,1,0,0,0,0.46056,0.34403
13.01700286,0,3,7.200424893,8.572060093,1,1,1,0,1,1,0,0,0,0.51556,0.38771
12.84792653,0,3,6.970730078,8.853665428,1,0,2,0,0,0,0,0,0,0.38899,0.14535
12.89921983,0,4,7.368970402,8.853665428,1,0,2,0,0,0,0,0,0,0.33567,0.14274
12.53537639,0,4,6.927557906,8.03915739,1,1,2,0,0,1,1,0,0,1.00829,0.76271
13.27936713,0,4,7.54538975,8.614682813,1,1,2,1,0,1,0,0,0,0.56262,0.45258
13.01700286,0,3,7.263329617,8.589513853,1,1,2,1,0,1,1,0,0,0.75026,0.58813
12.82125828,0,4,6.744059186,8.331827004,1,1,0,0,0,1,1,0,0,0.88481,0.69171
12.81583822,0,3,7.409741954,8.780018888,1,1,1,0,0,1,1,0,0,0.83554,0.65696
13.00582956,1,4,7.336936914,8.556413905,0,0,2,1,0,0,1,0,0,0.80107,0.63284
13.17590414,0,3,7.583756301,8.902455592,1,1,2,0,0,1,0,0,0,0.43816,0.35427
13.09190417,0,3,7.159291905,8.902455592,1,1,2,0,0,1,0,0,0,0.40042,0.33413
12.80765263,0,2,6.946975992,8.675904883,0,1,2,0,0,1,1,0,0,0.61113,0.48155
13.23569206,0,3,7.321849714,8.679312041,1,1,2,0,0,1,0,0,0,0.55552,0.46494
13.29126191,0,4,7.846589975,8.458292083,1,1,2,1,0,1,0,0,0,0.61248,0.49338
12.89921983,0,5,7.584773078,8.459564079,1,1,1,1,0,1,0,0,0,0.70728,0.53438
12.87390202,0,4,7.978996371,8.459564079,1,1,2,1,1,1,0,0,0,0.7226,0.54359
12.62806706,0,2,6.595780514,8.43511508,1,1,1,0,0,1,0,0,0,0.77581,0.57304
13.53314765,0,4,6.920671504,8.614682813,1,1,2,0,0,1,1,0,0,0.23579,0.21347
13.12236338,0,3,8.281977059,9.084777149,1,0,2,0,1,1,0,0,0,0.32153,0.26433
13.04979268,0,3,7.305188215,8.391629968,1,1,2,1,0,1,0,0,0,0.34952,0.31122
12.98310131,0,3,7.367708572,8.902455592,1,0,2,1,0,0,0,0,0,0.36869,0.2917
13.18063229,0,4,7.636752112,8.614682813,1,1,2,0,0,1,0,0,0,0.43808,0.37142
12.99453001,0,3,7.605890001,8.424419791,0,1,1,0,0,1,0,0,0,0.36344,0.31169
12.82125828,1,4,7.321188557,8.779557456,1,0,2,0,0,0,0,0,0,0.56475,0.42966
12.86099861,0,4,7.421775794,8.531096097,1,1,2,0,0,1,0,0,0,0.6676,0.50819
12.94800999,0,3,7.047517221,8.364042012,1,1,1,1,0,1,0,0,0,0.60561,0.47298
13.25339164,0,4,7.574558484,8.740336743,1,1,2,1,1,1,1,0,0,0.41914,0.04877
12.7367009,0,2,6.855408799,8.047189562,1,1,2,0,1,1,0,0,0,0.33536,0.11422
13.26646372,0,5,7.739794458,8.517193191,1,1,2,0,1,1,0,0,0,0.36666,0.30314
13.15192218,0,5,7.713784617,8.888756748,0,1,2,0,0,1,1,0,0,0.36515,0.23978
12.98310131,0,3,7.167809184,8.383661799,1,1,2,0,0,1,1,0,0,0.38066,0.25509
12.81855192,0,2,6.96979067,8.047189562,1,1,3,0,0,1,0,0,0,0.41635,0.35295
12.97154049,0,4,7.638198244,8.444622499,0,0,2,1,0,0,0,0,0,0.32751,0.24182
13.13725199,0,3,7.525639975,8.334711622,0,0,0,0,0,1,0,0,0,0.55877,0.32674
13.23569206,0,4,7.202661197,8.334711622,1,1,2,1,0,1,0,0,0,0.56561,0.32123
12.7367009,0,3,6.837332815,8.517193191,1,1,2,1,0,1,0,0,0,0.70741,0.38502
12.95984445,0,4,7.517520851,8.160518247,1,0,2,1,0,0,0,0,0,0.34539,0.13572
12.67607627,0,3,6.851184927,8.178077464,1,1,2,0,0,1,0,0,0,0.613,0.21104
13.19932442,0,3,7.669028289,8.195609567,1,1,2,0,0,1,0,0,0,0.61983,0.2056
13.07107008,0,5,7.576609767,8.334711622,1,1,2,0,1,1,0,0,0,0.59191,0.24955
12.84792653,0,4,8.34664209,8.740336743,1,1,2,2,1,1,0,0,0,0.60458,0.2114
13.17874371,0,4,7.622174595,8.324821299,1,1,2,0,0,1,0,0,0,0.7199,0.21657
12.77987307,0,3,7.207859871,8.509564164,1,0,0,0,0,0,0,0,0,0.56064,0.1609
12.67607627,0,3,7.090076836,8.078688229,1,1,2,0,1,1,1,0,0,0.09204,0.03246
13.16158409,0,3,7.385851078,8.898365607,0,1,0,0,1,1,0,0,0,0.59901,0.11498
12.86099861,0,3,6.945051064,7.919356191,1,1,2,0,1,1,0,0,0,0.62319,0.12491
12.80765263,0,2,7.047517221,8.324821299,1,1,2,0,0,1,1,0,0,0.39067,0.09344
12.86099861,0,3,7.047517221,8.283999304,1,1,1,0,0,1,1,0,0,0.48938,0.19294
13.74293987,0,6,7.952263309,8.559486104,1,0,2,3,0,0,0,0,0,1.27328,0.07137
12.40901349,0,4,7.167037877,8.237479289,1,1,2,0,1,1,0,0,0,3.7236,0.22529
12.47990931,0,3,7.351158226,8.625868208,0,1,2,0,0,0,1,0,0,1.79732,0.18983
12.69158046,0,3,7.021083964,8.270525095,1,1,2,0,1,1,1,0,1,2.29577,0.27611
12.95748873,0,3,7.474772182,8.221478947,1,1,2,0,1,1,0,0,1,2.14306,0.27811
12.59473064,0,3,6.991176887,8.221478947,1,1,2,0,1,1,0,0,1,2.10162,0.27254
12.89921983,0,3,6.991176887,8.221478947,1,1,2,0,1,1,0,0,1,2.10162,0.27254
12.7367009,1,3,7.183111702,8.50916102,1,1,0,0,1,1,0,0,1,2.21059,0.2498
12.97733761,0,5,7.379008128,8.221478947,1,1,3,0,1,1,0,0,0,1.95254,0.2778
12.57418197,1,3,6.936342736,8.262300942,1,1,2,0,0,1,0,0,0,2.03888,0.2477
12.80215811,0,3,7.139660336,8.262300942,1,1,2,0,0,1,0,0,0,2.0287,0.24824
12.85579027,0,3,7.150701458,8.221478947,1,1,2,0,0,1,0,0,1,2.11306,0.31348
12.84132585,0,3,7.475339237,8.221478947,1,1,0,0,0,1,0,0,0,2.03002,0.31474
12.89921983,0,3,7.685703061,8.30028019,1,1,2,0,0,1,0,0,0,2.03694,0.30807
12.79385931,0,3,7.284134806,8.221478947,1,1,0,0,1,1,0,0,0,1.98449,0.31162
11.98292909,0,3,7.279318835,8.221478947,1,1,2,0,0,1,0,0,0,1.9637,0.31218
12.80490915,0,3,7.104965448,8.221478947,1,1,1,0,1,1,0,0,0,1.89701,0.30973
12.82125828,0,4,7.167037877,8.221478947,1,1,0,0,1,1,0,0,0,1.86091,0.30416
13.19002203,0,3,7.438971592,8.732304571,1,1,1,1,1,1,0,0,0,1.84297,0.33842
12.89921983,1,3,7.412764017,8.626944055,1,1,6,1,1,1,0,0,0,1.96639,0.40386
12.69465266,0,3,7.229838778,8.221478947,1,1,0,0,1,1,0,0,0,1.87864,0.4002
13.18815112,0,5,7.87207398,8.732304571,0,1,2,1,1,1,0,0,0,1.95701,0.37183
12.94323671,0,3,7.537430037,8.626944055,1,1,2,0,0,1,0,0,0,1.89392,0.39939
12.7367009,0,3,6.935370446,8.221478947,1,1,2,0,0,1,0,0,1,2.01628,0.46254
12.70684793,0,3,7.264730178,8.221478947,1,1,2,0,1,1,0,0,0,1.90825,0.43977
12.91533921,0,3,7.593877845,8.221478947,1,1,2,0,0,1,0,0,0,1.72536,0.42522
12.89921983,0,3,7.437206367,8.221478947,1,1,0,0,1,1,0,0,0,1.70239,0.45912
12.84792653,0,3,7.538494999,8.229511119,1,1,0,0,0,1,0,0,1,2.04317,0.49735
12.84792653,0,3,7.265429723,8.286017468,1,1,2,1,1,1,0,0,1,1.9298,0.52653
12.81583822,0,3,7.412160335,8.221478947,1,1,2,0,0,1,0,0,1,1.89372,0.52763
12.82125828,0,4,7.455876687,8.221478947,1,1,2,0,0,1,0,0,0,1.88857,0.52779
12.64432758,0,4,7.711101252,8.221478947,1,1,0,0,0,1,0,0,0,1.8216,0.49642
13.04979268,0,3,7.544332108,8.9226583,1,1,1,1,0,1,0,0,1,1.9229,0.55088
12.82664913,0,4,7.363279587,8.221478947,1,1,2,0,1,1,0,0,1,1.83025,0.58972
12.92391244,0,5,7.284820913,8.221478947,1,1,0,0,1,1,0,0,0,1.80473,0.5905
12.91164235,0,3,7.444248649,8.221478947,1,1,2,0,1,1,0,0,0,1.68082,0.58841
12.77987307,0,3,7.379008128,8.221478947,1,1,0,1,1,1,0,0,0,1.61932,0.58251
12.9692122,0,3,7.249925537,8.354674262,1,1,2,0,1,1,0,0,0,1.57219,0.55165
12.76568843,0,3,7.385230923,8.295798111,1,1,0,0,1,1,0,0,0,1.68191,0.62292
12.79524724,0,3,7.203405521,8.221478947,1,1,2,0,0,1,0,0,0,1.51732,0.60648
13.27936713,0,5,7.688913337,8.229511119,1,1,2,0,1,1,1,0,1,1.89374,0.50071
12.88664104,0,3,7.238496841,8.295798111,1,1,2,0,1,1,0,0,0,1.79269,0.69076
12.92147044,0,3,7.560601163,8.50916102,1,1,2,2,0,1,0,0,0,1.70334,0.24204
13.10724974,0,4,7.707062655,8.914626128,1,1,1,2,0,1,0,0,0,1.72077,0.24429
13.08466151,0,4,7.583756301,8.557951184,1,1,1,1,1,1,0,0,0,1.60239,0.23505
12.98997419,0,3,7.425953657,8.452547998,1,1,2,1,0,1,0,0,0,1.59237,0.22896
12.56024446,0,4,7.901007052,8.569216219,1,1,3,1,1,1,0,0,0,1.76647,0.31441
13.04332017,1,3,7.442492723,8.740336743,1,1,2,0,1,1,0,0,0,1.53709,0.28393
12.87390202,0,5,7.562161631,8.229511119,1,1,0,0,0,1,0,0,0,1.68438,0.34321
12.74548573,0,3,7.029087564,8.367996885,0,0,2,0,0,1,1,0,0,1.36391,0.36969
12.78549106,0,3,7.006695227,8.244859396,0,1,1,1,0,1,0,0,0,1.36485,0.33158
12.89921983,0,3,7.550135342,8.620471541,1,1,2,2,1,1,1,0,0,1.48618,0.43474
13.28787782,0,3,7.556950572,8.221478947,1,1,2,1,0,1,1,0,0,1.40591,0.39657
12.76568843,0,3,7.21964204,8.25426877,1,1,2,0,1,1,1,0,0,1.22863,0.41058
12.69158046,0,3,6.852242569,7.919356191,1,1,2,0,1,1,1,0,0,1.62802,0.49242
12.81583822,0,3,6.852242569,7.919356191,1,1,2,0,1,1,1,0,0,1.62802,0.49242
12.92999148,0,3,7.520776415,8.221478947,1,1,0,2,0,1,1,0,0,1.55427,0.49646
12.97618087,0,3,7.746300662,8.226038429,1,1,2,3,0,1,1,0,0,1.51903,0.4632
12.96570957,0,3,7.584264818,8.34664209,1,1,0,2,1,1,1,0,0,1.34277,0.45874
12.80215811,0,3,7.28756064,8.254788926,1,1,0,0,0,1,1,0,0,1.40085,0.46454
12.86359265,0,3,7.444833274,8.431199478,1,1,0,0,1,1,1,0,0,1.36682,0.46302
12.97154049,0,3,7.575584652,8.50916102,1,1,2,0,0,1,1,0,0,1.4903,0.55823
12.9360338,0,3,7.655390645,8.86939816,1,0,1,1,1,1,1,0,0,1.51725,0.59545
13.06048797,0,4,7.70616297,8.587278799,1,1,0,0,1,1,1,0,0,1.43869,0.66217
12.95866728,0,4,7.663877259,8.914626128,1,1,1,2,0,1,1,0,0,1.33559,0.64878
12.67607627,0,2,6.722629795,8.659039916,1,1,1,0,1,1,0,0,0,1.46937,0.26254
12.7728059,0,2,6.722629795,8.659039916,1,1,1,0,1,1,0,0,0,1.46937,0.26254
